Impressions,Clicks,Sales,Spend,Marketplace,Ad_group,Orders,Units
9893,50,861.79,172.358,Walmart,PPC_Marketing,10,11
8808,39,523.12,104.624,Walmart,PPC_Marketing,7,8
7132,24,307.97,61.594,Walmart,PPC_Marketing,3,3
23399,75,385.88,77.176,Walmart,PPC_Marketing,7,8
49869,93,825.91,165.182,Walmart,PPC_Marketing,9,9
4624,14,252.99,50.598,Walmart,PPC_Marketing,1,1
5232,10,254.98,50.996,Walmart,PPC_Marketing,2,2
23319,69,468.93,234.465,Walmart,Outdoor_Marketing,4,7
8786,19,79.99,39.995,Walmart,Outdoor_Marketing,1,1
35103,53,159.57,79.785,Walmart,Outdoor_Marketing,1,1
31939,118,830.01,166.002,Walmart,Digital_ad,10,10
15543,18,52.99,10.598,Walmart,Digital_ad,1,1
11410,79,1390.4,278.08,Walmart,PPC_Marketing,18,20
7333,24,157.27,31.454,Walmart,PPC_Marketing,3,3
18824,38,352.98,70.596,Walmart,PPC_Marketing,2,2
130520,476,598.13,299.065,Walmart,Outdoor_Marketing,6,7
23533,88,304.97,152.485,Walmart,Outdoor_Marketing,3,3
37920,105,638.94,319.47,Walmart,Outdoor_Marketing,5,6
38371,81,467.96,233.98,Walmart,Outdoor_Marketing,4,4
8924,27,319.98,63.996,Walmart,Digital_ad,2,2
11616,28,329.95,65.99,Walmart,Digital_ad,5,5
17149,30,100.99,20.198,Walmart,Digital_ad,1,1
9067,6,247.58,49.516,Walmart,Social_Media,2,2
13674,111,1307.04,261.408,Walmart,PPC_Marketing,17,20
13848,37,404.95,80.99,Walmart,PPC_Marketing,5,5
18608,38,1010.45,202.09,Walmart,PPC_Marketing,6,6
2434,9,57.98,11.596,Walmart,PPC_Marketing,1,2
59410,185,589.95,294.975,Walmart,Outdoor_Marketing,3,5
40953,99,865.93,432.965,Walmart,Outdoor_Marketing,7,7
33932,107,275.94,137.97,Walmart,Outdoor_Marketing,1,2
73189,134,411.98,205.99,Walmart,Outdoor_Marketing,2,2
24558,84,814.53,162.906,Walmart,Digital_ad,9,9
16441,33,408.95,81.79,Walmart,Digital_ad,4,5
15490,18,52.99,10.598,Walmart,Digital_ad,1,1
12637,50,178.98,35.796,Walmart,PPC_Marketing,2,2
17404,49,795.95,159.19,Walmart,PPC_Marketing,5,5
41848,277,730.28,146.056,Walmart,PPC_Marketing,22,24
4924,13,134.99,67.495,Walmart,Outdoor_Marketing,1,1
292443,433,863.82,431.91,Walmart,Outdoor_Marketing,8,8
51649,144,1521.13,760.565,Walmart,Outdoor_Marketing,12,16
11460,38,233.98,116.99,Walmart,Outdoor_Marketing,1,2
1238,7,71.98,35.99,Walmart,Outdoor_Marketing,1,1
73016,107,300.96,150.48,Walmart,Outdoor_Marketing,4,4
5447,18,985.92,492.96,Walmart,Outdoor_Marketing,6,8
27537,86,575.79,115.158,Walmart,Digital_ad,7,7
10820,23,161.98,32.396,Walmart,Digital_ad,2,2
18499,62,263.97,52.794,Walmart,PPC_Marketing,3,3
45549,85,290.96,58.192,Walmart,PPC_Marketing,4,4
6579,18,204.64,40.928,Walmart,PPC_Marketing,2,2
